bpos,sdist,bheight,bwidth,time,pressure,bpos,sdist,bheight,bwidth,time,pressure,bpos,sdist,bheight,bwidth,time,pressure,bpos,sdist,bheight,bwidth,time,pressure,bpos,sdist,bheight,bwidth,time,pressure,bpos,sdist,bheight,bwidth,time,pressure,bpos,sdist,bheight,bwidth,time,pressure,bpos,sdist,bheight,bwidth,time,pressure,bpos,sdist,bheight,bwidth,time,pressure,bpos,sdist,bheight,bwidth,time,pressure,bpos,sdist,bheight,bwidth,time,pressure,bpos,sdist,bheight,bwidth,time,pressure,bpos,sdist,bheight,bwidth,time,pressure,bpos,sdist,bheight,bwidth,time,pressure,bpos,sdist,bheight,bwidth,time,pressure,bpos,sdist,bheight,bwidth,time,pressure,bpos,sdist,bheight,bwidth,time,pressure,bpos,sdist,bheight,bwidth,time,pressure
4,6,2,10,0.0044,101325,4,10,2,10,0.0044,101325,4,20,2,10,0.0044,101325,5,6,2,10,0.0044,101325,5,10,2,10,0.0044,101325,5,20,2,10,0.0044,101325,6,6,2,10,0.0044,101325,6,10,2,10,0.0044,101325,6,20,2,10,0.0044,101325,5,6,2,5,0.0044,101325,5,10,2,5,0.0044,101325,5,20,2,5,0.0044,101325,5,6,3,5,0.0044,101325,5,10,3,5,0.0044,101325,5,20,3,5,0.0044,101325,5,6,4,5,0.0044,101325,5,10,4,5,0.0044,101325,5,20,4,5,0.0044,101325
4,6,2,10,0.0045,101325,4,10,2,10,0.0045,101325,4,20,2,10,0.0045,101325,5,6,2,10,0.0045,101325,5,10,2,10,0.0045,101325,5,20,2,10,0.0045,101325,6,6,2,10,0.0045,101325,6,10,2,10,0.0045,101325,6,20,2,10,0.0045,101325,5,6,2,5,0.0045,101325,5,10,2,5,0.0045,101325,5,20,2,5,0.0045,101325,5,6,3,5,0.0045,101325,5,10,3,5,0.0045,101325,5,20,3,5,0.0045,101325,5,6,4,5,0.0045,101325,5,10,4,5,0.0045,101325,5,20,4,5,0.0045,101325
4,6,2,10,0.0046,101325,4,10,2,10,0.0046,101325,4,20,2,10,0.0046,101325,5,6,2,10,0.0046,101325,5,10,2,10,0.0046,101325,5,20,2,10,0.0046,101325,6,6,2,10,0.0046,101325,6,10,2,10,0.0046,101325,6,20,2,10,0.0046,101325,5,6,2,5,0.0046,101325,5,10,2,5,0.0046,101325,5,20,2,5,0.0046,101325,5,6,3,5,0.0046,101325,5,10,3,5,0.0046,101325,5,20,3,5,0.0046,101325,5,6,4,5,0.0046,101325,5,10,4,5,0.0046,101325,5,20,4,5,0.0046,101325
4,6,2,10,0.0047,101325,4,10,2,10,0.0047,101325,4,20,2,10,0.0047,101325,5,6,2,10,0.0047,101325,5,10,2,10,0.0047,101325,5,20,2,10,0.0047,101325,6,6,2,10,0.0047,101325,6,10,2,10,0.0047,101325,6,20,2,10,0.0047,101325,5,6,2,5,0.0047,101325,5,10,2,5,0.0047,101325,5,20,2,5,0.0047,101325,5,6,3,5,0.0047,101325,5,10,3,5,0.0047,101325,5,20,3,5,0.0047,101325,5,6,4,5,0.0047,101325,5,10,4,5,0.0047,101325,5,20,4,5,0.0047,101325
4,6,2,10,0.0048,101325,4,10,2,10,0.0048,101325,4,20,2,10,0.0048,101325,5,6,2,10,0.0048,101325,5,10,2,10,0.0048,101325,5,20,2,10,0.0048,101325,6,6,2,10,0.0048,101325,6,10,2,10,0.0048,101325,6,20,2,10,0.0048,101325,5,6,2,5,0.0048,101325,5,10,2,5,0.0048,101325,5,20,2,5,0.0048,101325,5,6,3,5,0.0048,101325,5,10,3,5,0.0048,101325,5,20,3,5,0.0048,101325,5,6,4,5,0.0048,101325,5,10,4,5,0.0048,101325,5,20,4,5,0.0048,101325
4,6,2,10,0.0049,101325,4,10,2,10,0.0049,101325,4,20,2,10,0.0049,101325,5,6,2,10,0.0049,101325,5,10,2,10,0.0049,101325,5,20,2,10,0.0049,101325,6,6,2,10,0.0049,101325,6,10,2,10,0.0049,101325,6,20,2,10,0.0049,101325,5,6,2,5,0.0049,101325,5,10,2,5,0.0049,101325,5,20,2,5,0.0049,101325,5,6,3,5,0.0049,101325,5,10,3,5,0.0049,101325,5,20,3,5,0.0049,101325,5,6,4,5,0.0049,101325,5,10,4,5,0.0049,101325,5,20,4,5,0.0049,101325
4,6,2,10,0.005,101325,4,10,2,10,0.005,101325,4,20,2,10,0.005,101325,5,6,2,10,0.005,101325,5,10,2,10,0.005,101325,5,20,2,10,0.005,101325,6,6,2,10,0.005,101325,6,10,2,10,0.005,101325,6,20,2,10,0.005,101325,5,6,2,5,0.005,101325,5,10,2,5,0.005,101325,5,20,2,5,0.005,101325,5,6,3,5,0.005,101325,5,10,3,5,0.005,101325,5,20,3,5,0.005,101325,5,6,4,5,0.005,101325,5,10,4,5,0.005,101325,5,20,4,5,0.005,101325
4,6,2,10,0.0051,101325,4,10,2,10,0.0051,101325,4,20,2,10,0.0051,101325,5,6,2,10,0.0051,101325,5,10,2,10,0.0051,101325,5,20,2,10,0.0051,101325,6,6,2,10,0.0051,101325,6,10,2,10,0.0051,101325,6,20,2,10,0.0051,101325,5,6,2,5,0.0051,101325,5,10,2,5,0.0051,101325,5,20,2,5,0.0051,101325,5,6,3,5,0.0051,101325,5,10,3,5,0.0051,101325,5,20,3,5,0.0051,101325,5,6,4,5,0.0051,101325,5,10,4,5,0.0051,101325,5,20,4,5,0.0051,101325
4,6,2,10,0.0052,101325,4,10,2,10,0.0052,101325,4,20,2,10,0.0052,101325,5,6,2,10,0.0052,101325,5,10,2,10,0.0052,101325,5,20,2,10,0.0052,101325,6,6,2,10,0.0052,101325,6,10,2,10,0.0052,101325,6,20,2,10,0.0052,101325,5,6,2,5,0.0052,101325,5,10,2,5,0.0052,101325,5,20,2,5,0.0052,101325,5,6,3,5,0.0052,101325,5,10,3,5,0.0052,101325,5,20,3,5,0.0052,101325,5,6,4,5,0.0052,101325,5,10,4,5,0.0052,101325,5,20,4,5,0.0052,101325
4,6,2,10,0.0053,101325,4,10,2,10,0.0053,101325,4,20,2,10,0.0053,101325,5,6,2,10,0.0053,101325,5,10,2,10,0.0053,101325,5,20,2,10,0.0053,101325,6,6,2,10,0.0053,101325,6,10,2,10,0.0053,101325,6,20,2,10,0.0053,101325,5,6,2,5,0.0053,101325,5,10,2,5,0.0053,101325,5,20,2,5,0.0053,101325,5,6,3,5,0.0053,101325,5,10,3,5,0.0053,101325,5,20,3,5,0.0053,101325,5,6,4,5,0.0053,101325,5,10,4,5,0.0053,101325,5,20,4,5,0.0053,101325
4,6,2,10,0.0054,101325,4,10,2,10,0.0054,101325,4,20,2,10,0.0054,101325,5,6,2,10,0.0054,101325,5,10,2,10,0.0054,101325,5,20,2,10,0.0054,101325,6,6,2,10,0.0054,101325,6,10,2,10,0.0054,101325,6,20,2,10,0.0054,101325,5,6,2,5,0.0054,101325,5,10,2,5,0.0054,101325,5,20,2,5,0.0054,101325,5,6,3,5,0.0054,101325,5,10,3,5,0.0054,101325,5,20,3,5,0.0054,101325,5,6,4,5,0.0054,101325,5,10,4,5,0.0054,101325,5,20,4,5,0.0054,101325
4,6,2,10,0.0055,101325,4,10,2,10,0.0055,101325,4,20,2,10,0.0055,101325,5,6,2,10,0.0055,101325,5,10,2,10,0.0055,101325,5,20,2,10,0.0055,101325,6,6,2,10,0.0055,101325,6,10,2,10,0.0055,101325,6,20,2,10,0.0055,101325,5,6,2,5,0.0055,101325,5,10,2,5,0.0055,101325,5,20,2,5,0.0055,101325,5,6,3,5,0.0055,101325,5,10,3,5,0.0055,101325,5,20,3,5,0.0055,101325,5,6,4,5,0.0055,101325,5,10,4,5,0.0055,101325,5,20,4,5,0.0055,101325
4,6,2,10,0.0056,101325,4,10,2,10,0.0056,101325,4,20,2,10,0.0056,101325,5,6,2,10,0.0056,101325,5,10,2,10,0.0056,101325,5,20,2,10,0.0056,101325,6,6,2,10,0.0056,101325,6,10,2,10,0.0056,101325,6,20,2,10,0.0056,101325,5,6,2,5,0.0056,101325,5,10,2,5,0.0056,101325,5,20,2,5,0.0056,101325,5,6,3,5,0.0056,101325,5,10,3,5,0.0056,101325,5,20,3,5,0.0056,101325,5,6,4,5,0.0056,101325,5,10,4,5,0.0056,101325,5,20,4,5,0.0056,101325
4,6,2,10,0.0057,101325,4,10,2,10,0.0057,101325,4,20,2,10,0.0057,101325,5,6,2,10,0.0057,101325,5,10,2,10,0.0057,101325,5,20,2,10,0.0057,101325,6,6,2,10,0.0057,101325,6,10,2,10,0.0057,101325,6,20,2,10,0.0057,101325,5,6,2,5,0.0057,101325,5,10,2,5,0.0057,101325,5,20,2,5,0.0057,101325,5,6,3,5,0.0057,101325,5,10,3,5,0.0057,101325,5,20,3,5,0.0057,101325,5,6,4,5,0.0057,101325,5,10,4,5,0.0057,101325,5,20,4,5,0.0057,101325
4,6,2,10,0.0058,101325,4,10,2,10,0.0058,101325,4,20,2,10,0.0058,101325,5,6,2,10,0.0058,101325,5,10,2,10,0.0058,101325,5,20,2,10,0.0058,101325,6,6,2,10,0.0058,101325,6,10,2,10,0.0058,101325,6,20,2,10,0.0058,101325,5,6,2,5,0.0058,101325,5,10,2,5,0.0058,101325,5,20,2,5,0.0058,101325,5,6,3,5,0.0058,101325,5,10,3,5,0.0058,101325,5,20,3,5,0.0058,101325,5,6,4,5,0.0058,101325,5,10,4,5,0.0058,101325,5,20,4,5,0.0058,101325
4,6,2,10,0.0059,101325,4,10,2,10,0.0059,101325,4,20,2,10,0.0059,101325,5,6,2,10,0.0059,101325,5,10,2,10,0.0059,101325,5,20,2,10,0.0059,101325,6,6,2,10,0.0059,101325,6,10,2,10,0.0059,101325,6,20,2,10,0.0059,101325,5,6,2,5,0.0059,101325,5,10,2,5,0.0059,101325,5,20,2,5,0.0059,101325,5,6,3,5,0.0059,101325,5,10,3,5,0.0059,101325,5,20,3,5,0.0059,101325,5,6,4,5,0.0059,101325,5,10,4,5,0.0059,101325,5,20,4,5,0.0059,101325
4,6,2,10,0.006,101325,4,10,2,10,0.006,101325,4,20,2,10,0.006,101325,5,6,2,10,0.006,101325,5,10,2,10,0.006,101325,5,20,2,10,0.006,101325,6,6,2,10,0.006,101325,6,10,2,10,0.006,101325,6,20,2,10,0.006,101325,5,6,2,5,0.006,101325,5,10,2,5,0.006,101325,5,20,2,5,0.006,101325,5,6,3,5,0.006,101325,5,10,3,5,0.006,101325,5,20,3,5,0.006,101325,5,6,4,5,0.006,101325,5,10,4,5,0.006,101325,5,20,4,5,0.006,101325
4,6,2,10,0.0061,101325,4,10,2,10,0.0061,101325,4,20,2,10,0.0061,101325,5,6,2,10,0.0061,101325,5,10,2,10,0.0061,101325,5,20,2,10,0.0061,101325,6,6,2,10,0.0061,101325,6,10,2,10,0.0061,101325,6,20,2,10,0.0061,101325,5,6,2,5,0.0061,101325,5,10,2,5,0.0061,101325,5,20,2,5,0.0061,101325,5,6,3,5,0.0061,101325,5,10,3,5,0.0061,101325,5,20,3,5,0.0061,101325,5,6,4,5,0.0061,101325,5,10,4,5,0.0061,101325,5,20,4,5,0.0061,101325
4,6,2,10,0.0062,101325,4,10,2,10,0.0062,101325,4,20,2,10,0.0062,101325,5,6,2,10,0.0062,101325,5,10,2,10,0.0062,101325,5,20,2,10,0.0062,101325,6,6,2,10,0.0062,101325,6,10,2,10,0.0062,101325,6,20,2,10,0.0062,101325,5,6,2,5,0.0062,101325,5,10,2,5,0.0062,101325,5,20,2,5,0.0062,101325,5,6,3,5,0.0062,101325,5,10,3,5,0.0062,101325,5,20,3,5,0.0062,101325,5,6,4,5,0.0062,101325,5,10,4,5,0.0062,101325,5,20,4,5,0.0062,101325
4,6,2,10,0.0063,101325,4,10,2,10,0.0063,101325,4,20,2,10,0.0063,101325,5,6,2,10,0.0063,101325,5,10,2,10,0.0063,101325,5,20,2,10,0.0063,101325,6,6,2,10,0.0063,101325,6,10,2,10,0.0063,101325,6,20,2,10,0.0063,101325,5,6,2,5,0.0063,101325,5,10,2,5,0.0063,101325,5,20,2,5,0.0063,101325,5,6,3,5,0.0063,101325,5,10,3,5,0.0063,101325,5,20,3,5,0.0063,101325,5,6,4,5,0.0063,101325,5,10,4,5,0.0063,101325,5,20,4,5,0.0063,101325
4,6,2,10,0.0064,101325,4,10,2,10,0.0064,101325,4,20,2,10,0.0064,101325,5,6,2,10,0.0064,101325,5,10,2,10,0.0064,101325,5,20,2,10,0.0064,101325,6,6,2,10,0.0064,101325,6,10,2,10,0.0064,101325,6,20,2,10,0.0064,101325,5,6,2,5,0.0064,101325,5,10,2,5,0.0064,101325,5,20,2,5,0.0064,101325,5,6,3,5,0.0064,101325,5,10,3,5,0.0064,101325,5,20,3,5,0.0064,101325,5,6,4,5,0.0064,101325,5,10,4,5,0.0064,101325,5,20,4,5,0.0064,101325
4,6,2,10,0.0065,101325,4,10,2,10,0.0065,101325,4,20,2,10,0.0065,101325,5,6,2,10,0.0065,101325,5,10,2,10,0.0065,101325,5,20,2,10,0.0065,101325,6,6,2,10,0.0065,101325,6,10,2,10,0.0065,101325,6,20,2,10,0.0065,101325,5,6,2,5,0.0065,101325,5,10,2,5,0.0065,101325,5,20,2,5,0.0065,101325,5,6,3,5,0.0065,101325,5,10,3,5,0.0065,101325,5,20,3,5,0.0065,101325,5,6,4,5,0.0065,101325,5,10,4,5,0.0065,101325,5,20,4,5,0.0065,101325
4,6,2,10,0.0066,101325,4,10,2,10,0.0066,101325,4,20,2,10,0.0066,101325,5,6,2,10,0.0066,101325,5,10,2,10,0.0066,101325,5,20,2,10,0.0066,101325,6,6,2,10,0.0066,101325,6,10,2,10,0.0066,101325,6,20,2,10,0.0066,101325,5,6,2,5,0.0066,101325,5,10,2,5,0.0066,101325,5,20,2,5,0.0066,101325,5,6,3,5,0.0066,101325,5,10,3,5,0.0066,101325,5,20,3,5,0.0066,101325,5,6,4,5,0.0066,101325,5,10,4,5,0.0066,101325,5,20,4,5,0.0066,101325
4,6,2,10,0.0067,101325,4,10,2,10,0.0067,101325,4,20,2,10,0.0067,101325,5,6,2,10,0.0067,101325,5,10,2,10,0.0067,101325,5,20,2,10,0.0067,101325,6,6,2,10,0.0067,101325,6,10,2,10,0.0067,101325,6,20,2,10,0.0067,101325,5,6,2,5,0.0067,101325,5,10,2,5,0.0067,101325,5,20,2,5,0.0067,101325,5,6,3,5,0.0067,101325,5,10,3,5,0.0067,101325,5,20,3,5,0.0067,101325,5,6,4,5,0.0067,101325,5,10,4,5,0.0067,101325,5,20,4,5,0.0067,101325
4,6,2,10,0.0068,101325,4,10,2,10,0.0068,101325,4,20,2,10,0.0068,101325,5,6,2,10,0.0068,101325,5,10,2,10,0.0068,101325,5,20,2,10,0.0068,101325,6,6,2,10,0.0068,101325,6,10,2,10,0.0068,101325,6,20,2,10,0.0068,101325,5,6,2,5,0.0068,101325,5,10,2,5,0.0068,101325,5,20,2,5,0.0068,101325,5,6,3,5,0.0068,101325,5,10,3,5,0.0068,101325,5,20,3,5,0.0068,101325,5,6,4,5,0.0068,101325,5,10,4,5,0.0068,101325,5,20,4,5,0.0068,101325
4,6,2,10,0.0069,101325,4,10,2,10,0.0069,101325,4,20,2,10,0.0069,101325,5,6,2,10,0.0069,101325,5,10,2,10,0.0069,101325,5,20,2,10,0.0069,101325,6,6,2,10,0.0069,101325,6,10,2,10,0.0069,101325,6,20,2,10,0.0069,101325,5,6,2,5,0.0069,101325,5,10,2,5,0.0069,101325,5,20,2,5,0.0069,101325,5,6,3,5,0.0069,101325,5,10,3,5,0.0069,101325,5,20,3,5,0.0069,101325,5,6,4,5,0.0069,101325,5,10,4,5,0.0069,101325,5,20,4,5,0.0069,101325
4,6,2,10,0.007,101325,4,10,2,10,0.007,101325,4,20,2,10,0.007,101325,5,6,2,10,0.007,101325,5,10,2,10,0.007,101325,5,20,2,10,0.007,101325,6,6,2,10,0.007,101325,6,10,2,10,0.007,101325,6,20,2,10,0.007,101325,5,6,2,5,0.007,101325,5,10,2,5,0.007,101325,5,20,2,5,0.007,101325,5,6,3,5,0.007,101325,5,10,3,5,0.007,101325,5,20,3,5,0.007,101325,5,6,4,5,0.007,101325,5,10,4,5,0.007,101325,5,20,4,5,0.007,101325
4,6,2,10,0.0071,101325,4,10,2,10,0.0071,101325,4,20,2,10,0.0071,101325,5,6,2,10,0.0071,101325,5,10,2,10,0.0071,101325,5,20,2,10,0.0071,101325,6,6,2,10,0.0071,101325,6,10,2,10,0.0071,101325,6,20,2,10,0.0071,101325,5,6,2,5,0.0071,101325,5,10,2,5,0.0071,101325,5,20,2,5,0.0071,101325,5,6,3,5,0.0071,101325,5,10,3,5,0.0071,101325,5,20,3,5,0.0071,101325,5,6,4,5,0.0071,101325,5,10,4,5,0.0071,101325,5,20,4,5,0.0071,101325
4,6,2,10,0.0072,101325,4,10,2,10,0.0072,101325,4,20,2,10,0.0072,101325,5,6,2,10,0.0072,101325,5,10,2,10,0.0072,101325,5,20,2,10,0.0072,101325,6,6,2,10,0.0072,101325,6,10,2,10,0.0072,101325,6,20,2,10,0.0072,101325,5,6,2,5,0.0072,101325,5,10,2,5,0.0072,101325,5,20,2,5,0.0072,101325,5,6,3,5,0.0072,101325,5,10,3,5,0.0072,101325,5,20,3,5,0.0072,101325,5,6,4,5,0.0072,101325,5,10,4,5,0.0072,101325,5,20,4,5,0.0072,101325
4,6,2,10,0.0073,101325,4,10,2,10,0.0073,101325,4,20,2,10,0.0073,101325,5,6,2,10,0.0073,101325,5,10,2,10,0.0073,101325,5,20,2,10,0.0073,101325,6,6,2,10,0.0073,101325,6,10,2,10,0.0073,101325,6,20,2,10,0.0073,101325,5,6,2,5,0.0073,101325,5,10,2,5,0.0073,101325,5,20,2,5,0.0073,101325,5,6,3,5,0.0073,101325,5,10,3,5,0.0073,101325,5,20,3,5,0.0073,101325,5,6,4,5,0.0073,101325,5,10,4,5,0.0073,101325,5,20,4,5,0.0073,101325
4,6,2,10,0.0074,101325,4,10,2,10,0.0074,101325,4,20,2,10,0.0074,101325,5,6,2,10,0.0074,101325,5,10,2,10,0.0074,101325,5,20,2,10,0.0074,101325,6,6,2,10,0.0074,101325,6,10,2,10,0.0074,101325,6,20,2,10,0.0074,101325,5,6,2,5,0.0074,101325,5,10,2,5,0.0074,101325,5,20,2,5,0.0074,101325,5,6,3,5,0.0074,101325,5,10,3,5,0.0074,101325,5,20,3,5,0.0074,101325,5,6,4,5,0.0074,101325,5,10,4,5,0.0074,101325,5,20,4,5,0.0074,101325
4,6,2,10,0.0075,101325,4,10,2,10,0.0075,101325,4,20,2,10,0.0075,101325,5,6,2,10,0.0075,101325,5,10,2,10,0.0075,101325,5,20,2,10,0.0075,101325,6,6,2,10,0.0075,101325,6,10,2,10,0.0075,101325,6,20,2,10,0.0075,101325,5,6,2,5,0.0075,101325,5,10,2,5,0.0075,101325,5,20,2,5,0.0075,101325,5,6,3,5,0.0075,101325,5,10,3,5,0.0075,101325,5,20,3,5,0.0075,101325,5,6,4,5,0.0075,101325,5,10,4,5,0.0075,101325,5,20,4,5,0.0075,101325
4,6,2,10,0.0076,101325,4,10,2,10,0.0076,101325,4,20,2,10,0.0076,101325,5,6,2,10,0.0076,101325,5,10,2,10,0.0076,101325,5,20,2,10,0.0076,101325,6,6,2,10,0.0076,101325,6,10,2,10,0.0076,101325,6,20,2,10,0.0076,101325,5,6,2,5,0.0076,101325,5,10,2,5,0.0076,101325,5,20,2,5,0.0076,101325,5,6,3,5,0.0076,101325,5,10,3,5,0.0076,101325,5,20,3,5,0.0076,101325,5,6,4,5,0.0076,101325,5,10,4,5,0.0076,101325,5,20,4,5,0.0076,101325
4,6,2,10,0.0077,101325,4,10,2,10,0.0077,101325,4,20,2,10,0.0077,101325,5,6,2,10,0.0077,101325,5,10,2,10,0.0077,101325,5,20,2,10,0.0077,101325,6,6,2,10,0.0077,101325,6,10,2,10,0.0077,101325,6,20,2,10,0.0077,101325,5,6,2,5,0.0077,101325,5,10,2,5,0.0077,101325,5,20,2,5,0.0077,101325,5,6,3,5,0.0077,101325,5,10,3,5,0.0077,101325,5,20,3,5,0.0077,101325,5,6,4,5,0.0077,101325,5,10,4,5,0.0077,101325,5,20,4,5,0.0077,101325
4,6,2,10,0.0078,101325,4,10,2,10,0.0078,101325,4,20,2,10,0.0078,101325,5,6,2,10,0.0078,101325,5,10,2,10,0.0078,101325,5,20,2,10,0.0078,101325,6,6,2,10,0.0078,101325,6,10,2,10,0.0078,101325,6,20,2,10,0.0078,101325,5,6,2,5,0.0078,101325,5,10,2,5,0.0078,101325,5,20,2,5,0.0078,101325,5,6,3,5,0.0078,101325,5,10,3,5,0.0078,101325,5,20,3,5,0.0078,101325,5,6,4,5,0.0078,101325,5,10,4,5,0.0078,101325,5,20,4,5,0.0078,101325
